Sentence,Error Type,Corrected Sentence
நான் பழத்தை சாப்பிடுவாள்.,Habitual Case,நான் பழத்தை படிக்கிறான்.
பார்வதி வீட்டில் சாப்பிடுகிறான்.,No Error,பார்வதி வீட்டில் சாப்பிடுகிறான்.
நாம் பழத்தை படிக்கிறார்கள்.,Spelling Error,நாம் பழத்தை படிக்கிறான்.
அவர்கள் பாடத்தை செல்கிறான்.,Verb Tense,அவர்கள் பாடத்தை படிக்கிறாள்.
நான் வீட்டில் விளையாடுகிறான்.,Verb Tense,நான் வீட்டில் படிக்கிறாள்.
நான் பாடத்தை விளையாடுகிறான்.,Verb Tense,நான் பாடத்தை விளையாடுகிறோம்.
நாம் பள்ளிக்கு செல்கிறான்.,Spelling Error,நாம் பள்ளிக்கு படிக்கிறான்.
அவன் பாடத்தை சாப்பிடுகிறாள்.,Habitual Case,அவன் பாடத்தை சாப்பிடுகிறான்.
பார்வதி பந்து சாப்பிடுவாள்.,Spelling Error,பார்வதி பந்து சாப்பிடுகிறான்.
அவள் பள்ளிக்கு படிக்கிறார்கள்.,Subject-Verb Agreement,அவள் பள்ளிக்கு படிக்கிறான்.
நான் பாடத்தை சாப்பிடுகிறான்.,No Error,நான் பாடத்தை சாப்பிடுகிறான்.
அவர்கள் பாடத்தை சாப்பிடுகிறாள்.,Spelling Error,அவர்கள் பாடத்தை சாப்பிடுகிறான்.
அவன் பள்ளிக்கு சாப்பிடுவாள்.,Subject-Verb Agreement,அவன் பள்ளிக்கு படிக்கிறான்.
பார்வதி வீட்டில் சாப்பிடுவாள்.,Habitual Case,பார்வதி வீட்டில் விளையாடுகிறோம்.
பார்வதி பந்து விளையாடுகிறான்.,Spelling Error,பார்வதி பந்து செல்வேன்.
